Hybrid	Yield
1	115.771386243601
1	106.782144692734
1	112.240103712289
1	77.131506318893
1	90.1634697713133
1	115.187063050359
1	147.119725492862
1	126.611624197521
1	110.00844353488
1	67.9960908298345
2	60.4697436119415
2	76.9333168520038
2	66.3998224132749
2	81.590354343506
2	73.5112044244181
2	76.0089577019859
2	62.9330069631702
2	77.3210691851228
2	97.1430236504761
2	94.4935410660137
3	137.950839851793
3	111.317030817204
3	147.073940536397
3	91.4441067296904
3	159.197321305205
3	166.680540299681
3	90.5185311036118
3	119.408814353978
3	85.5075623043417
3	91.4716691821511
4	104.878971586644
4	164.696931357479
4	73.5426704493393
4	102.494338948227
4	86.1416720389602
4	114.988161202794
4	110.912590229418
4	90.6372283027176
4	127.513740901248
4	78.5629059529643
